bin,bin_low,bin_high,n_bets,expected_prob,empirical_win_rate,calibration_error,abs_calibration_error,reliability_score,brier_score,zone_type,is_dead_zone,is_halt_zone
0.40-0.45,0.4,0.45,77,0.42675683149276933,0.38961038961038963,-0.0371464418823797,0.0371464418823797,0.9628535581176203,0.2380889816486117,calibrated,False,False
0.45-0.50,0.45,0.5,128,0.4758436615747965,0.375,-0.10084366157479652,0.10084366157479652,0.8991563384252035,0.24520757493814038,overconfident,True,False
0.50-0.55,0.5,0.55,223,0.5316700444738733,0.4663677130044843,-0.06530233146938902,0.06530233146938902,0.934697668530611,0.2537549521094047,noise_zone,False,False
0.55-0.60,0.55,0.6,397,0.5759483979263393,0.5188916876574308,-0.05705671026890857,0.05705671026890857,0.9429432897310914,0.25223240916982353,calibrated,False,False
0.60-0.65,0.6,0.65,573,0.626758204882301,0.49040139616055844,-0.1363568087217426,0.1363568087217426,0.8636431912782574,0.2689609286768014,overconfident,True,False
0.65-0.70,0.65,0.7,584,0.6758489293764484,0.5958904109589042,-0.0799585184175442,0.0799585184175442,0.9200414815824558,0.24654655620054775,calibrated,False,False
0.70-0.75,0.7,0.75,504,0.7258998720444546,0.6111111111111112,-0.11478876093334345,0.11478876093334345,0.8852112390666566,0.25039277787016,overconfident,True,False
0.75-0.80,0.75,0.8,594,0.775423778991644,0.6195286195286195,-0.15589515946302457,0.15589515946302457,0.8441048405369754,0.2592683068083295,overconfident,True,True
0.80-0.85,0.8,0.85,304,0.8210817628371393,0.6052631578947368,-0.21581860494240246,0.21581860494240246,0.7841813950575975,0.2851660924272744,overconfident,True,True
0.85-0.90,0.85,0.9,149,0.8741987167891608,0.7114093959731543,-0.1627893208160065,0.1627893208160065,0.8372106791839935,0.23373364480176909,overconfident,True,True
