start_idx,end_idx,length,date_start,date_end,loss_amount,max_drawdown_during
186,192,7,2025-07-19,2025-07-20,-41.31639686988946,0.12739869838991372
323,329,7,2025-07-23,2025-07-23,-56.6643241251626,0.14360316393684228
623,627,5,2025-07-30,2025-07-30,-34.53478639397467,0.1900349576225165
677,681,5,2025-07-31,2025-07-31,-42.455845189641856,0.20973129167378218
893,898,6,2025-08-05,2025-08-05,-25.24561543958538,0.086910663758585
1000,1004,5,2025-08-08,2025-08-08,-17.819929856753,0.014771511658215171
1194,1198,5,2025-08-13,2025-08-13,-43.79824259778013,0.051673434885338286
1219,1223,5,2025-08-14,2025-08-14,-38.73627458327347,0.030002584692222927
1304,1310,7,2025-08-16,2025-08-16,-37.20569879695677,0.026491630120633766
1330,1334,5,2025-08-17,2025-08-17,-15.205261279088372,0.06777063974783805
1367,1371,5,2025-08-18,2025-08-18,-23.416304580693172,0.04154998687174048
1587,1591,5,2025-08-23,2025-08-23,-88.39187720344725,0.0522998016707808
1877,1886,10,2025-08-31,2025-09-01,-108.99546186800538,0.06201553351361018
2216,2220,5,2025-09-10,2025-09-10,-53.09516545624768,0.05228181952120227
2277,2282,6,2025-09-11,2025-09-11,-123.42282976177675,0.1463763775833449
2333,2338,6,2025-09-13,2025-09-13,-30.473322801203192,0.19444622748138637
2369,2373,5,2025-09-14,2025-09-14,-76.6738010239604,0.2272314047427726
2457,2461,5,2025-09-17,2025-09-17,-42.4914758536583,0.24681119977977004
2669,2678,10,2025-09-26,2025-09-26,-176.94711948563375,0.27557488462156565
2989,2995,7,2025-10-03,2025-10-03,-60.97252854741905,0.3277989708175615
3060,3064,5,2025-10-05,2025-10-05,-43.84550347215556,0.34315653286104314
3106,3111,6,2025-10-06,2025-10-06,-21.553438657902685,0.32662595567230013
3142,3146,5,2025-10-07,2025-10-07,-50.14166117853377,0.32602034962662446
3280,3284,5,2025-10-11,2025-10-11,-23.010184016426276,0.2841275750583831
3351,3355,5,2025-10-12,2025-10-13,-41.884754507397616,0.27950181685754405
3405,3409,5,2025-10-14,2025-10-14,-45.82085571867375,0.24944250506415094
3830,3834,5,2025-10-26,2025-10-26,-19.54962421790324,0.2680010253075805
3992,3996,5,2025-10-29,2025-10-30,-79.67547483098161,0.26513196260238586
4081,4088,8,2025-11-01,2025-11-01,-51.58026852967775,0.20381854065524882
4103,4107,5,2025-11-02,2025-11-02,-63.85639340565578,0.22815175488573125
4359,4363,5,2025-11-07,2025-11-07,-22.503322245540172,0.24818716999604498
4496,4500,5,2025-11-10,2025-11-10,-42.425357749212736,0.24915094560779513
